day,Eggs,Larvae,Pupae,Adults,Zero Locations
496,4872975.349666,326040.245195,179760.176645,251924,13355
497,4687174.896238,327293.161801,212660.100498,247586,13833
498,4535526.345799,327778.040590,256529.403720,249246,13770
499,4423704.438078,324588.219867,285474.380017,257915,12990
500,4645014.043891,329225.599291,309051.483325,269484,11894
501,4686936.347471,330818.902053,322577.314312,283502,10806
502,4663947.483195,330041.468243,328242.853967,297578,9960
503,4823124.017760,333459.083502,327392.858455,311046,9123
504,4940799.700921,332855.690788,308303.626093,323023,8486
505,5186299.450316,336341.677339,285583.010114,329068,8165
506,5431830.427820,343258.557418,274736.113581,331811,8062
507,5681791.139621,348836.108151,264649.311167,332234,7950
508,5624630.806764,346786.239673,247641.816848,330840,7942
509,5640941.196991,347877.687424,245386.231916,327142,8257
510,5737438.990019,352232.965810,251632.289754,324009,8372
511,5336399.515337,344584.100666,252994.990587,322682,8555
